Device Name,Management IP,OS
SWCORE,10.22.1.1,Cisco IOS XE
SWSAN1,10.22.1.101,MikroTik SwitchOS
SWSERVER1,10.22.1.11,Cisco IOS
SWCORE2,10.22.1.2,Cisco IOS
SW6NEW,10.22.1.60,Cisco IOS
SWODDOLD,10.22.1.61,Cisco IOS
SWEVENOLD,10.22.1.62,Cisco IOS
SW6STAFF,10.22.1.65,Cisco IOS
SWACAD1,10.22.1.66,Cisco IOS
SWACAD2,10.22.1.67,Cisco IOS
SW7NEW,10.22.1.70,Cisco IOS
SWRDT-DBA,10.22.1.76,
RTREDGE,10.22.10.1,MikroTik RouterOS
RTRHS,10.22.10.6,MikroTik RouterOS
SW7STAFF,10.22.100.75,
SWNASERVER1,10.22.1.16,Cisco IOS
MT724APSLC,10.22.90.224,MikroTik RouterOS
MT600APSLC,10.22.90.100,MikroTik RouterOS
MT700APSLC,10.22.90.200,MikroTik RouterOS
